request_id,arrival_time_ms,prompt_tokens,output_tokens,tenant_id,priority_class,ttft_slo_ms,itl_slo_ms,prefix_id,abandoned_at_ms,request_type
burstgpt-000384,1864300,1061,1161,model-chatgpt,interactive,950,145,,,
burstgpt-000385,1865450,484,308,model-chatgpt,interactive,950,145,,,
burstgpt-000386,1865550,126,43,model-chatgpt,interactive,950,145,,,
burstgpt-000387,1866600,723,170,model-chatgpt,interactive,950,145,,,
burstgpt-000388,1866750,50,1265,model-chatgpt,interactive,950,145,,,
burstgpt-000389,1866850,967,357,model-chatgpt,interactive,950,145,,,
burstgpt-000390,1868550,106,329,model-gpt-4,interactive,950,145,,,
burstgpt-000391,1868650,815,717,model-chatgpt,interactive,950,145,,,
burstgpt-000392,1868750,301,28,model-chatgpt,interactive,950,145,,,
burstgpt-000393,1869200,1364,1331,model-chatgpt,interactive,950,145,,,
burstgpt-000394,1870150,449,192,model-gpt-4,interactive,950,145,,,
burstgpt-000395,1871850,96,260,model-gpt-4,interactive,950,145,,,
burstgpt-000396,1872450,757,351,model-chatgpt,interactive,950,145,,,
burstgpt-000397,1873800,1571,434,model-chatgpt,interactive,950,145,,,
burstgpt-000398,1876650,690,170,model-gpt-4,interactive,950,145,,,
burstgpt-000399,1877150,502,234,model-chatgpt,interactive,950,145,,,
burstgpt-000400,1878400,71,40,model-chatgpt,interactive,950,145,,,
burstgpt-000401,1883550,312,204,model-chatgpt,interactive,950,145,,,
burstgpt-000402,1889000,19,320,model-chatgpt,interactive,950,145,,,
burstgpt-000403,1889150,401,102,model-chatgpt,interactive,950,145,,,
burstgpt-000404,1890050,248,53,model-gpt-4,interactive,950,145,,,
burstgpt-000405,1890150,386,17,model-gpt-4,interactive,950,145,,,
burstgpt-000406,1891000,27,18,model-chatgpt,interactive,950,145,,,
burstgpt-000407,1891300,749,344,model-gpt-4,interactive,950,145,,,
burstgpt-000408,1891950,19,232,model-chatgpt,interactive,950,145,,,
burstgpt-000409,1892100,28,53,model-chatgpt,interactive,950,145,,,
burstgpt-000410,1893150,27,209,model-gpt-4,interactive,950,145,,,
burstgpt-000411,1893400,79,62,model-chatgpt,interactive,950,145,,,
burstgpt-000412,1893700,36,513,model-chatgpt,interactive,950,145,,,
burstgpt-000413,1893700,268,32,model-chatgpt,interactive,950,145,,,
burstgpt-000414,1894050,244,65,model-gpt-4,interactive,950,145,,,
burstgpt-000415,1895450,91,63,model-gpt-4,interactive,950,145,,,
burstgpt-000416,1896200,170,42,model-gpt-4,interactive,950,145,,,
burstgpt-000417,1898850,258,171,model-gpt-4,interactive,950,145,,,
burstgpt-000418,1899600,40,2048,model-chatgpt,interactive,950,145,,,
burstgpt-000419,1900600,989,206,model-chatgpt,interactive,950,145,,,
burstgpt-000420,1900700,536,236,model-gpt-4,interactive,950,145,,,
burstgpt-000421,1901150,580,56,model-chatgpt,interactive,950,145,,,
burstgpt-000422,1901250,815,433,model-chatgpt,interactive,950,145,,,
burstgpt-000423,1901800,359,22,model-gpt-4,interactive,950,145,,,
burstgpt-000424,1901850,35,452,model-chatgpt,interactive,950,145,,,
burstgpt-000425,1902450,524,716,model-chatgpt,interactive,950,145,,,
burstgpt-000426,1902850,1275,694,model-chatgpt,interactive,950,145,,,
burstgpt-000427,1903200,472,213,model-gpt-4,interactive,950,145,,,
burstgpt-000428,1903250,437,31,model-gpt-4,interactive,950,145,,,
burstgpt-000429,1903400,1130,519,model-chatgpt,interactive,950,145,,,
burstgpt-000430,1903450,19,307,model-gpt-4,interactive,950,145,,,
burstgpt-000431,1904300,1263,707,model-chatgpt,interactive,950,145,,,
burstgpt-000432,1904950,13,68,model-chatgpt,interactive,950,145,,,
burstgpt-000433,1905000,374,827,model-chatgpt,interactive,950,145,,,
burstgpt-000434,1905450,100,8,model-chatgpt,interactive,950,145,,,
burstgpt-000435,1907300,338,71,model-gpt-4,interactive,950,145,,,
burstgpt-000436,1908350,426,369,model-gpt-4,interactive,950,145,,,
burstgpt-000437,1908700,1965,516,model-chatgpt,interactive,950,145,,,
burstgpt-000438,1910500,114,366,model-chatgpt,interactive,950,145,,,
burstgpt-000439,1911500,517,27,model-gpt-4,interactive,950,145,,,
burstgpt-000440,1912550,46,462,model-gpt-4,interactive,950,145,,,
burstgpt-000441,1913200,63,388,model-chatgpt,interactive,950,145,,,
burstgpt-000442,1915200,1299,267,model-chatgpt,interactive,950,145,,,
burstgpt-000443,1915650,355,456,model-chatgpt,interactive,950,145,,,
burstgpt-000444,1915800,1422,348,model-gpt-4,interactive,950,145,,,
burstgpt-000445,1917000,492,536,model-chatgpt,interactive,950,145,,,
burstgpt-000446,1917450,599,112,model-gpt-4,interactive,950,145,,,
burstgpt-000447,1918300,1676,559,model-chatgpt,interactive,950,145,,,
burstgpt-000448,1921100,72,15,model-chatgpt,interactive,950,145,,,
burstgpt-000449,1922200,13,85,model-gpt-4,interactive,950,145,,,
burstgpt-000450,1922600,157,11,model-chatgpt,interactive,950,145,,,
burstgpt-000451,1923100,32,176,model-chatgpt,interactive,950,145,,,
burstgpt-000452,1923700,255,17,model-chatgpt,interactive,950,145,,,
burstgpt-000453,1924350,353,19,model-chatgpt,interactive,950,145,,,
burstgpt-000454,1924800,454,14,model-chatgpt,interactive,950,145,,,
burstgpt-000455,1925400,288,252,model-chatgpt,interactive,950,145,,,
burstgpt-000456,1925500,668,473,model-gpt-4,interactive,950,145,,,
burstgpt-000457,1926000,321,851,model-chatgpt,interactive,950,145,,,
burstgpt-000458,1929300,516,647,model-chatgpt,interactive,950,145,,,
burstgpt-000459,1929750,22,242,model-gpt-4,interactive,950,145,,,
burstgpt-000460,1930600,52,180,model-gpt-4,interactive,950,145,,,
burstgpt-000461,1930750,86,577,model-chatgpt,interactive,950,145,,,
burstgpt-000462,1932200,36,19,model-chatgpt,interactive,950,145,,,
burstgpt-000463,1933750,86,411,model-gpt-4,interactive,950,145,,,
burstgpt-000464,1935050,491,179,model-gpt-4,interactive,950,145,,,
burstgpt-000465,1935750,2016,182,model-chatgpt,interactive,950,145,,,
burstgpt-000466,1935850,10,85,model-gpt-4,interactive,950,145,,,
burstgpt-000467,1937300,1276,213,model-chatgpt,interactive,950,145,,,
burstgpt-000468,1938200,122,10,model-gpt-4,interactive,950,145,,,
burstgpt-000469,1939400,1042,20,model-chatgpt,interactive,950,145,,,
burstgpt-000470,1939650,68,427,model-gpt-4,interactive,950,145,,,
burstgpt-000471,1941600,1180,524,model-chatgpt,interactive,950,145,,,
burstgpt-000472,1941600,99,112,model-gpt-4,interactive,950,145,,,
burstgpt-000473,1945550,1711,220,model-chatgpt,interactive,950,145,,,
burstgpt-000474,1945650,37,558,model-gpt-4,interactive,950,145,,,
burstgpt-000475,1945750,242,94,model-gpt-4,interactive,950,145,,,
burstgpt-000476,1946150,169,18,model-gpt-4,interactive,950,145,,,
burstgpt-000477,1946350,1269,87,model-chatgpt,interactive,950,145,,,
burstgpt-000478,1946600,764,225,model-gpt-4,interactive,950,145,,,
burstgpt-000479,1947650,384,231,model-gpt-4,interactive,950,145,,,
burstgpt-000480,1948250,1912,99,model-chatgpt,interactive,950,145,,,
burstgpt-000481,1948500,47,600,model-chatgpt,interactive,950,145,,,
burstgpt-000482,1948600,717,133,model-gpt-4,interactive,950,145,,,
burstgpt-000483,1949200,81,420,model-gpt-4,interactive,950,145,,,
burstgpt-000484,1951550,648,377,model-gpt-4,interactive,950,145,,,
burstgpt-000485,1952650,1462,175,model-chatgpt,interactive,950,145,,,
burstgpt-000486,1953400,150,331,model-chatgpt,interactive,950,145,,,
burstgpt-000487,1954450,1462,420,model-chatgpt,interactive,950,145,,,
burstgpt-000488,1955350,1069,366,model-gpt-4,interactive,950,145,,,
burstgpt-000489,1956900,1030,461,model-chatgpt,interactive,950,145,,,
burstgpt-000490,1957150,1450,483,model-chatgpt,interactive,950,145,,,
burstgpt-000491,1958200,1317,191,model-chatgpt,interactive,950,145,,,
burstgpt-000492,1958700,529,48,model-chatgpt,interactive,950,145,,,
burstgpt-000493,1958900,183,72,model-chatgpt,interactive,950,145,,,
burstgpt-000494,1960100,2039,571,model-chatgpt,interactive,950,145,,,
burstgpt-000495,1960900,1286,444,model-chatgpt,interactive,950,145,,,
burstgpt-000496,1962150,1382,288,model-chatgpt,interactive,950,145,,,
burstgpt-000497,1962850,1387,131,model-chatgpt,interactive,950,145,,,
burstgpt-000498,1963150,550,394,model-gpt-4,interactive,950,145,,,
burstgpt-000499,1963800,21,16,model-chatgpt,interactive,950,145,,,
burstgpt-000500,1966400,361,721,model-chatgpt,interactive,950,145,,,
burstgpt-000501,1968600,1278,477,model-chatgpt,interactive,950,145,,,
burstgpt-000502,1971700,328,8,model-gpt-4,interactive,950,145,,,
burstgpt-000503,1972450,16,105,model-chatgpt,interactive,950,145,,,
burstgpt-000504,1972600,1476,146,model-chatgpt,interactive,950,145,,,
burstgpt-000505,1973100,995,517,model-gpt-4,interactive,950,145,,,
burstgpt-000506,1973650,139,224,model-chatgpt,interactive,950,145,,,
burstgpt-000507,1974800,13,357,model-chatgpt,interactive,950,145,,,
burstgpt-000508,1975350,59,81,model-chatgpt,interactive,950,145,,,
burstgpt-000509,1976100,387,475,model-chatgpt,interactive,950,145,,,
burstgpt-000510,1977650,21,109,model-chatgpt,interactive,950,145,,,
burstgpt-000511,1978300,132,68,model-chatgpt,interactive,950,145,,,
burstgpt-000512,1978500,12,260,model-chatgpt,interactive,950,145,,,
burstgpt-000513,1978850,500,556,model-chatgpt,interactive,950,145,,,
burstgpt-000514,1980050,893,377,model-chatgpt,interactive,950,145,,,
burstgpt-000515,1980800,79,31,model-chatgpt,interactive,950,145,,,
burstgpt-000516,1981450,119,48,model-chatgpt,interactive,950,145,,,
burstgpt-000517,1981700,58,5,model-gpt-4,interactive,950,145,,,
burstgpt-000518,1982250,117,5,model-gpt-4,interactive,950,145,,,
burstgpt-000519,1982650,288,178,model-gpt-4,interactive,950,145,,,
burstgpt-000520,1982650,1590,556,model-chatgpt,interactive,950,145,,,
burstgpt-000521,1983600,14,15,model-chatgpt,interactive,950,145,,,
burstgpt-000522,1984050,1308,624,model-chatgpt,interactive,950,145,,,
burstgpt-000523,1984100,67,44,model-chatgpt,interactive,950,145,,,
burstgpt-000524,1984450,137,162,model-gpt-4,interactive,950,145,,,
burstgpt-000525,1984650,16,272,model-gpt-4,interactive,950,145,,,
burstgpt-000526,1986000,15,104,model-gpt-4,interactive,950,145,,,
burstgpt-000527,1987300,1521,973,model-chatgpt,interactive,950,145,,,
burstgpt-000528,1987850,1058,22,model-chatgpt,interactive,950,145,,,
burstgpt-000529,1987950,194,177,model-chatgpt,interactive,950,145,,,
burstgpt-000530,1988000,18,239,model-chatgpt,interactive,950,145,,,
burstgpt-000531,1988750,560,264,model-gpt-4,interactive,950,145,,,
burstgpt-000532,1989500,10,64,model-gpt-4,interactive,950,145,,,
burstgpt-000533,1990650,1642,1046,model-chatgpt,interactive,950,145,,,
burstgpt-000534,1992100,224,294,model-gpt-4,interactive,950,145,,,
burstgpt-000535,1992350,212,97,model-chatgpt,interactive,950,145,,,
burstgpt-000536,1992800,1866,717,model-chatgpt,interactive,950,145,,,
burstgpt-000537,1992950,155,200,model-chatgpt,interactive,950,145,,,
burstgpt-000538,1993600,247,216,model-chatgpt,interactive,950,145,,,
burstgpt-000539,1993950,29,174,model-gpt-4,interactive,950,145,,,
burstgpt-000540,1994900,654,49,model-gpt-4,interactive,950,145,,,
burstgpt-000541,1996450,954,250,model-gpt-4,interactive,950,145,,,
burstgpt-000542,1996700,727,254,model-gpt-4,interactive,950,145,,,
burstgpt-000543,1998100,19,499,model-chatgpt,interactive,950,145,,,
burstgpt-000544,2000800,45,31,model-chatgpt,interactive,950,145,,,
burstgpt-000545,2001300,1770,194,model-chatgpt,interactive,950,145,,,
burstgpt-000546,2002200,301,133,model-gpt-4,interactive,950,145,,,
burstgpt-000547,2002500,76,442,model-chatgpt,interactive,950,145,,,
burstgpt-000548,2005250,1779,549,model-chatgpt,interactive,950,145,,,
burstgpt-000549,2005350,478,726,model-chatgpt,interactive,950,145,,,
burstgpt-000550,2008050,1925,323,model-chatgpt,interactive,950,145,,,
burstgpt-000551,2008250,23,336,model-chatgpt,interactive,950,145,,,
burstgpt-000552,2008900,1532,335,model-chatgpt,interactive,950,145,,,
burstgpt-000553,2009000,19,249,model-chatgpt,interactive,950,145,,,
burstgpt-000554,2010100,372,354,model-chatgpt,interactive,950,145,,,
burstgpt-000555,2012500,14,54,model-chatgpt,interactive,950,145,,,
burstgpt-000556,2013450,1472,234,model-chatgpt,interactive,950,145,,,
burstgpt-000557,2013700,26,530,model-chatgpt,interactive,950,145,,,
burstgpt-000558,2014900,1421,520,model-chatgpt,interactive,950,145,,,
burstgpt-000559,2015450,945,79,model-gpt-4,interactive,950,145,,,
burstgpt-000560,2016550,1486,257,model-chatgpt,interactive,950,145,,,
burstgpt-000561,2016600,773,367,model-gpt-4,interactive,950,145,,,
burstgpt-000562,2017800,1260,268,model-chatgpt,interactive,950,145,,,
burstgpt-000563,2020600,1215,185,model-chatgpt,interactive,950,145,,,
burstgpt-000564,2020850,28,302,model-chatgpt,interactive,950,145,,,
burstgpt-000565,2022450,949,208,model-chatgpt,interactive,950,145,,,
burstgpt-000566,2023300,216,198,model-gpt-4,interactive,950,145,,,
burstgpt-000567,2023600,20,418,model-chatgpt,interactive,950,145,,,
burstgpt-000568,2024900,96,535,model-chatgpt,interactive,950,145,,,
burstgpt-000569,2027000,1509,344,model-chatgpt,interactive,950,145,,,
burstgpt-000570,2027650,359,380,model-gpt-4,interactive,950,145,,,
burstgpt-000571,2028150,22,696,model-chatgpt,interactive,950,145,,,
burstgpt-000572,2028300,1015,226,model-chatgpt,interactive,950,145,,,
burstgpt-000573,2028800,898,429,model-chatgpt,interactive,950,145,,,
burstgpt-000574,2029050,268,43,model-chatgpt,interactive,950,145,,,
burstgpt-000575,2030500,217,210,model-chatgpt,interactive,950,145,,,
burstgpt-000576,2031450,1144,309,model-chatgpt,interactive,950,145,,,
burstgpt-000577,2031500,59,32,model-chatgpt,interactive,950,145,,,
burstgpt-000578,2031550,739,313,model-chatgpt,interactive,950,145,,,
burstgpt-000579,2032150,1809,618,model-chatgpt,interactive,950,145,,,
burstgpt-000580,2033000,228,180,model-gpt-4,interactive,950,145,,,
burstgpt-000581,2033450,49,535,model-chatgpt,interactive,950,145,,,
burstgpt-000582,2033800,1559,303,model-chatgpt,interactive,950,145,,,
burstgpt-000583,2035550,1866,563,model-chatgpt,interactive,950,145,,,
burstgpt-000584,2041400,151,34,model-gpt-4,interactive,950,145,,,
burstgpt-000585,2042550,272,184,model-chatgpt,interactive,950,145,,,
burstgpt-000586,2042850,229,40,model-gpt-4,interactive,950,145,,,
burstgpt-000587,2043250,1413,312,model-chatgpt,interactive,950,145,,,
burstgpt-000588,2043850,1052,212,model-chatgpt,interactive,950,145,,,
burstgpt-000589,2043950,962,384,model-chatgpt,interactive,950,145,,,
burstgpt-000590,2044200,1335,340,model-chatgpt,interactive,950,145,,,
burstgpt-000591,2044950,19,411,model-chatgpt,interactive,950,145,,,
burstgpt-000592,2045150,461,250,model-chatgpt,interactive,950,145,,,
burstgpt-000593,2046050,138,41,model-chatgpt,interactive,950,145,,,
burstgpt-000594,2046250,149,17,model-chatgpt,interactive,950,145,,,
burstgpt-000595,2046250,821,245,model-chatgpt,interactive,950,145,,,
burstgpt-000596,2047400,1708,695,model-chatgpt,interactive,950,145,,,
burstgpt-000597,2047650,651,235,model-chatgpt,interactive,950,145,,,
burstgpt-000598,2048050,16,454,model-chatgpt,interactive,950,145,,,
burstgpt-000599,2049550,21,260,model-chatgpt,interactive,950,145,,,
burstgpt-000600,2050550,306,233,model-chatgpt,interactive,950,145,,,
burstgpt-000601,2051500,228,41,model-chatgpt,interactive,950,145,,,
burstgpt-000602,2052000,292,355,model-chatgpt,interactive,950,145,,,
burstgpt-000603,2052050,16,380,model-chatgpt,interactive,950,145,,,
burstgpt-000604,2053400,446,570,model-chatgpt,interactive,950,145,,,
burstgpt-000605,2053900,1189,373,model-chatgpt,interactive,950,145,,,
burstgpt-000606,2054700,1718,549,model-chatgpt,interactive,950,145,,,
burstgpt-000607,2054850,1115,506,model-chatgpt,interactive,950,145,,,
burstgpt-000608,2055000,1549,468,model-chatgpt,interactive,950,145,,,
burstgpt-000609,2055450,932,147,model-chatgpt,interactive,950,145,,,
burstgpt-000610,2055700,2554,340,model-gpt-4,interactive,950,145,,,
burstgpt-000611,2057100,29,509,model-chatgpt,interactive,950,145,,,
burstgpt-000612,2058550,164,111,model-chatgpt,interactive,950,145,,,
burstgpt-000613,2059200,44,78,model-chatgpt,interactive,950,145,,,
burstgpt-000614,2059400,1102,174,model-chatgpt,interactive,950,145,,,
burstgpt-000615,2059450,72,167,model-gpt-4,interactive,950,145,,,
burstgpt-000616,2059650,134,326,model-chatgpt,interactive,950,145,,,
burstgpt-000617,2060150,16,458,model-chatgpt,interactive,950,145,,,
burstgpt-000618,2060350,767,279,model-gpt-4,interactive,950,145,,,
burstgpt-000619,2060600,66,178,model-chatgpt,interactive,950,145,,,
burstgpt-000620,2060700,44,15,model-chatgpt,interactive,950,145,,,
burstgpt-000621,2061300,262,121,model-chatgpt,interactive,950,145,,,
burstgpt-000622,2061700,263,57,model-gpt-4,interactive,950,145,,,
burstgpt-000623,2061900,474,431,model-chatgpt,interactive,950,145,,,
burstgpt-000624,2063050,490,326,model-chatgpt,interactive,950,145,,,
burstgpt-000625,2065200,416,297,model-chatgpt,interactive,950,145,,,
burstgpt-000626,2065700,1293,311,model-chatgpt,interactive,950,145,,,
burstgpt-000627,2066500,399,120,model-chatgpt,interactive,950,145,,,
burstgpt-000628,2067000,1550,334,model-chatgpt,interactive,950,145,,,
burstgpt-000629,2067300,106,23,model-chatgpt,interactive,950,145,,,
burstgpt-000630,2067600,568,166,model-chatgpt,interactive,950,145,,,
burstgpt-000631,2068150,463,104,model-chatgpt,interactive,950,145,,,
burstgpt-000632,2069050,602,63,model-chatgpt,interactive,950,145,,,
burstgpt-000633,2069600,1619,273,model-chatgpt,interactive,950,145,,,
burstgpt-000634,2069850,413,99,model-chatgpt,interactive,950,145,,,
burstgpt-000635,2070050,61,722,model-chatgpt,interactive,950,145,,,
burstgpt-000636,2070050,580,165,model-chatgpt,interactive,950,145,,,
burstgpt-000637,2072050,19,339,model-chatgpt,interactive,950,145,,,
burstgpt-000638,2072950,163,397,model-chatgpt,interactive,950,145,,,
burstgpt-000639,2073450,45,453,model-chatgpt,interactive,950,145,,,
burstgpt-000640,2074050,1483,516,model-chatgpt,interactive,950,145,,,
burstgpt-000641,2074200,28,388,model-chatgpt,interactive,950,145,,,
burstgpt-000642,2074300,380,389,model-chatgpt,interactive,950,145,,,
burstgpt-000643,2077200,1253,497,model-chatgpt,interactive,950,145,,,
burstgpt-000644,2077200,1333,330,model-chatgpt,interactive,950,145,,,
burstgpt-000645,2077200,745,137,model-chatgpt,interactive,950,145,,,
burstgpt-000646,2077400,719,297,model-chatgpt,interactive,950,145,,,
burstgpt-000647,2077650,199,59,model-chatgpt,interactive,950,145,,,
burstgpt-000648,2080050,26,349,model-gpt-4,interactive,950,145,,,
burstgpt-000649,2080400,905,116,model-chatgpt,interactive,950,145,,,
burstgpt-000650,2080550,25,4,model-gpt-4,interactive,950,145,,,
burstgpt-000651,2080600,1002,204,model-chatgpt,interactive,950,145,,,
burstgpt-000652,2080950,63,548,model-chatgpt,interactive,950,145,,,
burstgpt-000653,2081050,46,3,model-gpt-4,interactive,950,145,,,
burstgpt-000654,2081200,1623,684,model-chatgpt,interactive,950,145,,,
burstgpt-000655,2081350,997,393,model-chatgpt,interactive,950,145,,,
burstgpt-000656,2081750,789,344,model-chatgpt,interactive,950,145,,,
burstgpt-000657,2081800,64,4,model-gpt-4,interactive,950,145,,,
burstgpt-000658,2082200,607,12,model-gpt-4,interactive,950,145,,,
burstgpt-000659,2083050,951,188,model-chatgpt,interactive,950,145,,,
burstgpt-000660,2083050,573,385,model-chatgpt,interactive,950,145,,,
burstgpt-000661,2084050,991,43,model-chatgpt,interactive,950,145,,,
burstgpt-000662,2084100,1122,130,model-chatgpt,interactive,950,145,,,
burstgpt-000663,2084150,26,94,model-chatgpt,interactive,950,145,,,
burstgpt-000664,2084800,84,30,model-gpt-4,interactive,950,145,,,
burstgpt-000665,2085300,140,350,model-chatgpt,interactive,950,145,,,
burstgpt-000666,2085550,1168,527,model-chatgpt,interactive,950,145,,,
burstgpt-000667,2087300,908,115,model-chatgpt,interactive,950,145,,,
burstgpt-000668,2087450,416,353,model-gpt-4,interactive,950,145,,,
burstgpt-000669,2088500,28,20,model-chatgpt,interactive,950,145,,,
burstgpt-000670,2088950,1700,565,model-chatgpt,interactive,950,145,,,
burstgpt-000671,2089350,984,540,model-chatgpt,interactive,950,145,,,
burstgpt-000672,2089600,767,291,model-chatgpt,interactive,950,145,,,
burstgpt-000673,2089700,66,8,model-chatgpt,interactive,950,145,,,
burstgpt-000674,2090200,1165,398,model-chatgpt,interactive,950,145,,,
burstgpt-000675,2090450,103,19,model-chatgpt,interactive,950,145,,,
burstgpt-000676,2092200,1026,447,model-chatgpt,interactive,950,145,,,
burstgpt-000677,2094100,166,280,model-gpt-4,interactive,950,145,,,
burstgpt-000678,2094200,523,203,model-chatgpt,interactive,950,145,,,
burstgpt-000679,2094950,805,139,model-gpt-4,interactive,950,145,,,
burstgpt-000680,2095600,1454,311,model-chatgpt,interactive,950,145,,,
burstgpt-000681,2095950,1609,524,model-chatgpt,interactive,950,145,,,
burstgpt-000682,2096550,1100,520,model-chatgpt,interactive,950,145,,,
burstgpt-000683,2096600,48,336,model-gpt-4,interactive,950,145,,,
burstgpt-000684,2096800,46,491,model-chatgpt,interactive,950,145,,,
burstgpt-000685,2097550,561,434,model-chatgpt,interactive,950,145,,,
burstgpt-000686,2098250,1023,443,model-chatgpt,interactive,950,145,,,
burstgpt-000687,2098400,1083,223,model-chatgpt,interactive,950,145,,,
burstgpt-000688,2098500,1929,377,model-chatgpt,interactive,950,145,,,
burstgpt-000689,2101550,1745,499,model-chatgpt,interactive,950,145,,,
burstgpt-000690,2102100,978,85,model-chatgpt,interactive,950,145,,,
burstgpt-000691,2102350,28,288,model-chatgpt,interactive,950,145,,,
burstgpt-000692,2102500,156,24,model-chatgpt,interactive,950,145,,,
burstgpt-000693,2103250,334,426,model-chatgpt,interactive,950,145,,,
burstgpt-000694,2103750,784,536,model-chatgpt,interactive,950,145,,,
burstgpt-000695,2104050,841,322,model-chatgpt,interactive,950,145,,,
burstgpt-000696,2104450,1350,629,model-chatgpt,interactive,950,145,,,
burstgpt-000697,2105750,667,536,model-chatgpt,interactive,950,145,,,
burstgpt-000698,2105900,24,6,model-chatgpt,interactive,950,145,,,
burstgpt-000699,2105950,202,11,model-chatgpt,interactive,950,145,,,
burstgpt-000700,2107100,1993,462,model-chatgpt,interactive,950,145,,,
burstgpt-000701,2107850,48,183,model-gpt-4,interactive,950,145,,,
burstgpt-000702,2108100,1195,430,model-chatgpt,interactive,950,145,,,
burstgpt-000703,2110400,1777,638,model-chatgpt,interactive,950,145,,,
burstgpt-000704,2110450,892,121,model-chatgpt,interactive,950,145,,,
burstgpt-000705,2111700,1869,609,model-chatgpt,interactive,950,145,,,
burstgpt-000706,2112600,267,167,model-gpt-4,interactive,950,145,,,
burstgpt-000707,2113250,1244,854,model-chatgpt,interactive,950,145,,,
burstgpt-000708,2113750,1847,556,model-chatgpt,interactive,950,145,,,
burstgpt-000709,2114550,185,543,model-chatgpt,interactive,950,145,,,
burstgpt-000710,2114600,23,404,model-chatgpt,interactive,950,145,,,
burstgpt-000711,2114750,38,560,model-chatgpt,interactive,950,145,,,
burstgpt-000712,2115400,878,96,model-chatgpt,interactive,950,145,,,
burstgpt-000713,2115600,1945,657,model-chatgpt,interactive,950,145,,,
burstgpt-000714,2115600,39,22,model-chatgpt,interactive,950,145,,,
burstgpt-000715,2115900,177,5,model-chatgpt,interactive,950,145,,,
burstgpt-000716,2116050,26,696,model-chatgpt,interactive,950,145,,,
burstgpt-000717,2116150,1649,341,model-chatgpt,interactive,950,145,,,
burstgpt-000718,2116650,626,433,model-chatgpt,interactive,950,145,,,
burstgpt-000719,2116700,1182,651,model-chatgpt,interactive,950,145,,,
burstgpt-000720,2118000,208,22,model-chatgpt,interactive,950,145,,,
burstgpt-000721,2118300,294,102,model-chatgpt,interactive,950,145,,,
burstgpt-000722,2118350,103,30,model-chatgpt,interactive,950,145,,,
burstgpt-000723,2118350,1938,578,model-chatgpt,interactive,950,145,,,
burstgpt-000724,2118700,1531,76,model-chatgpt,interactive,950,145,,,
burstgpt-000725,2119200,1081,490,model-chatgpt,interactive,950,145,,,
burstgpt-000726,2119700,20,106,model-chatgpt,interactive,950,145,,,
burstgpt-000727,2119950,1925,580,model-chatgpt,interactive,950,145,,,
burstgpt-000728,2120100,1592,529,model-chatgpt,interactive,950,145,,,
burstgpt-000729,2121150,172,10,model-chatgpt,interactive,950,145,,,
burstgpt-000730,2121350,1947,556,model-chatgpt,interactive,950,145,,,
burstgpt-000731,2121850,793,339,model-gpt-4,interactive,950,145,,,
burstgpt-000732,2122600,614,197,model-chatgpt,interactive,950,145,,,
burstgpt-000733,2123050,1855,569,model-chatgpt,interactive,950,145,,,
burstgpt-000734,2124350,1004,7,model-chatgpt,interactive,950,145,,,
burstgpt-000735,2125200,1874,547,model-chatgpt,interactive,950,145,,,
burstgpt-000736,2126050,267,58,model-chatgpt,interactive,950,145,,,
burstgpt-000737,2126300,1844,592,model-chatgpt,interactive,950,145,,,
burstgpt-000738,2126350,177,11,model-chatgpt,interactive,950,145,,,
burstgpt-000739,2127250,191,922,model-chatgpt,interactive,950,145,,,
burstgpt-000740,2127250,1589,396,model-chatgpt,interactive,950,145,,,
burstgpt-000741,2127300,50,4,model-chatgpt,interactive,950,145,,,
burstgpt-000742,2127600,1877,674,model-chatgpt,interactive,950,145,,,
burstgpt-000743,2128450,139,140,model-chatgpt,interactive,950,145,,,
burstgpt-000744,2129100,744,137,model-gpt-4,interactive,950,145,,,
burstgpt-000745,2130750,720,56,model-chatgpt,interactive,950,145,,,
burstgpt-000746,2133900,404,50,model-chatgpt,interactive,950,145,,,
burstgpt-000747,2136650,472,59,model-chatgpt,interactive,950,145,,,
burstgpt-000748,2142550,12,26,model-chatgpt,interactive,950,145,,,
burstgpt-000749,2142700,193,431,model-chatgpt,interactive,950,145,,,
burstgpt-000750,2143000,21,274,model-gpt-4,interactive,950,145,,,
burstgpt-000751,2143600,1655,402,model-chatgpt,interactive,950,145,,,
burstgpt-000752,2144950,530,36,model-chatgpt,interactive,950,145,,,
burstgpt-000753,2145400,25,250,model-chatgpt,interactive,950,145,,,
burstgpt-000754,2146300,1252,209,model-chatgpt,interactive,950,145,,,
burstgpt-000755,2147800,320,470,model-chatgpt,interactive,950,145,,,
burstgpt-000756,2148400,73,175,model-chatgpt,interactive,950,145,,,
burstgpt-000757,2148450,1941,691,model-chatgpt,interactive,950,145,,,
burstgpt-000758,2149200,1011,65,model-gpt-4,interactive,950,145,,,
burstgpt-000759,2149350,277,25,model-chatgpt,interactive,950,145,,,
burstgpt-000760,2151400,556,15,model-chatgpt,interactive,950,145,,,
burstgpt-000761,2152050,265,299,model-chatgpt,interactive,950,145,,,
burstgpt-000762,2152100,1092,24,model-gpt-4,interactive,950,145,,,
burstgpt-000763,2152900,1287,354,model-chatgpt,interactive,950,145,,,
burstgpt-000764,2153550,219,80,model-chatgpt,interactive,950,145,,,
burstgpt-000765,2154150,110,77,model-chatgpt,interactive,950,145,,,
burstgpt-000766,2155450,305,96,model-chatgpt,interactive,950,145,,,
